Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
CHEROKEE MEDICAL CENTER,CENTRE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
EAST ALABAMA MEDICAL CENTER,OPELIKA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
WEDOWEE HOSPITAL,WEDOWEE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
COMMUNITY HOSPITAL INC,TALLASSEE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
HUNTSVILLE HOSPITAL,HUNTSVILLE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
MARION REGIONAL MEDICAL CENTER,HAMILTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
FAYETTE MEDICAL CENTER,FAYETTE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
GEORGIANA MEDICAL CENTER,GEORGIANA,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
MEDICAL CENTER ENTERPRISE,ENTERPRISE,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
GREENE COUNTY HOSPITAL,EUTAW,Acute Care Hospitals,Government - Local,No,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Above the national average,Not Available
FLOWERS HOSPITAL,DOTHAN,Acute Care Hospitals,Proprietary,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average
BIBB MEDICAL CENTER,CENTREVILLE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
LAWRENCE MEDICAL CENTER,MOULTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
WIREGRASS MEDICAL CENTER,GENEVA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Above the national average,Not Available
RUSSELL HOSPITAL,ALEXANDER CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MEDICAL CENTER BARBOUR,EUFAULA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
CLAY COUNTY HOSPITAL,ASHLAND,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ATHENS LIMESTONE HOSPITAL,ATHENS,Acute Care Hospitals,Government - Hospital District or Authority,No,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average
NORTHWEST MEDICAL CENTER,WINFIELD,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
WALKER BAPTIST MEDICAL CENTER,JASPER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
PROVIDENCE HOSPITAL,MOBILE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Not Available
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
HALE COUNTY HOSPITAL,GREENSBORO,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Same as the national average,Not Available
ELMORE COMMUNITY HOSPITAL,WETUMPKA,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
THOMAS HOSPITAL,FAIRHOPE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
J PAUL JONES HOSPITAL,CAMDEN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MONROE COUNTY HOSPITAL,MONROEVILLE,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
TROY REGIONAL MEDICAL CENTER,TROY,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
JACKSON MEDICAL CENTER,JACKSON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
NORTH BALDWIN INFIRMARY,BAY MINETTE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
ST VINCENT'S ST CLAIR,PELL CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
HILL HOSPITAL OF SUMTER COUNTY,YORK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
BROOKWOOD MEDICAL CENTER,BIRMINGHAM,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
SPRINGHILL MEMORIAL HOSPITAL,MOBILE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
RMC JACKSONVILLE,JACKSONVILLE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
EVERGREEN MEDICAL CENTER,EVERGREEN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
SHOALS HOSPITAL,MUSCLE SHOALS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,Acute Care Hospitals,Government - State,Yes,4,Not Available,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
ATMORE COMMUNITY HOSPITAL,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
NORTH ALABAMA SPECIALITY HOSPITAL,ATHENS,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WASHINGTON COUNTY HOSPITAL,CHATOM,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
RED BAY HOSPITAL,RED BAY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
CHOCTAW GENERAL HOSPITAL,BUTLER,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
ST VINCENTS BLOUNT,ONEONTA,Critical Access Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,MOBILE,Childrens,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
MAT-SU REGIONAL MEDICAL CENTER,PALMER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BARTLETT REGIONAL HOSPITAL,JUNEAU,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ALASKA REGIONAL HOSPITAL,ANCHORAGE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,Acute Care Hospitals,Tribal,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Not Available,Not Available,Not Available
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,Acute Care Hospitals,Government - Federal,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Not Available,Not Available
SITKA COMMUNITY HOSPITAL,SITKA,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
NORTON SOUND REGIONAL HOSPITAL,NOME,Critical Access Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KANAKANAK HOSPITAL,DILLINGHAM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MANIILAQ HEALTH CENTER,KOTZEBUE,Critical Access Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
MT EDGECUMBE HOSPITAL,SITKA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ABRAZO MARYVALE CAMPUS,PHOENIX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
TUCSON MEDICAL CENTER,TUCSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
VERDE VALLEY MEDICAL CENTER,COTTONWOOD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
ST. MARY'S HOSPITAL,TUCSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average
ST JOSEPH'S HOSPITAL,TUCSON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Acute Care Hospitals,Government - Local,Yes,2,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
YUMA REGIONAL MEDICAL CENTER,YUMA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
JOHN C. LINCOLN MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
MARICOPA MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Government - Local,Yes,2,Not Available,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
ABRAZO CENTRAL CAMPUS,PHOENIX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Not Available
BANNER PAYSON MEDICAL CENTER,PAYSON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
ST LUKE'S MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available
SCOTTSDALE OSBORN MEDICAL CENTER,SCOTTSDALE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Above the national average
CANYON VISTA MEDICAL CENTER,SIERRA VISTA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
BANNER BOSWELL MEDICAL CENTER,SUN CITY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
BANNER DESERT MEDICAL CENTER,MESA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CITY,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average
FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,Acute Care Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,Acute Care Hospitals,Voluntary non-profit - Other,No,3,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Not Available,Not Available
SELLS HOSPITAL,SELLS,Acute Care Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SAN CARLOS APACHE HEALTHCARE,PERIDOT,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PHOENIX INDIAN MEDICAL CENTER,PHOENIX,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Not Available
ABRAZO SCOTTSDALE CAMPUS,PHOENIX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,Acute Care Hospitals,Government - Federal,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Below the national average,Not Available,Not Available
